SEQ	,Bola1	,Bola2	,Bola3	,Bola4	,Bola5	,Bola6	,Bola7	,Bola8	,Bola9	,Bola10	,Bola11	,Bola12	,Bola13	,Bola14	,Bola15	
32	,02	,03	,07	,08	,09	,11	,13	,14	,15	,16	,18	,19	,20	,22	,23	
33	,01	,02	,03	,05	,06	,08	,10	,12	,16	,17	,18	,19	,20	,22	,24	
34	,01	,02	,03	,04	,05	,06	,07	,08	,10	,11	,14	,15	,17	,18	,20	
35	,01	,02	,03	,04	,05	,07	,09	,12	,13	,14	,15	,16	,17	,19	,22	
36	,01	,02	,03	,07	,08	,12	,13	,15	,16	,17	,18	,20	,22	,23	,25	
37	,03	,06	,07	,08	,09	,11	,13	,14	,15	,18	,19	,21	,22	,24	,25	
38	,02	,03	,04	,06	,07	,09	,12	,13	,14	,15	,16	,18	,21	,24	,25	
39	,01	,02	,03	,05	,08	,10	,11	,13	,15	,16	,17	,19	,20	,23	,24	
40	,01	,03	,04	,09	,10	,12	,13	,14	,17	,18	,19	,20	,21	,23	,24	
41	,01	,02	,03	,09	,11	,12	,14	,15	,16	,17	,19	,20	,21	,22	,24	
42	,01	,03	,05	,08	,10	,11	,13	,14	,15	,16	,18	,20	,23	,24	,25	
43	,01	,03	,05	,07	,08	,10	,12	,14	,16	,20	,21	,22	,23	,24	,25	
44	,01	,03	,05	,06	,09	,10	,11	,13	,14	,15	,17	,18	,20	,21	,25	
45	,01	,04	,06	,07	,08	,09	,10	,13	,14	,16	,17	,19	,20	,23	,25	
46	,01	,02	,04	,06	,07	,08	,12	,13	,14	,16	,19	,20	,21	,24	,25	
47	,01	,03	,04	,08	,09	,10	,11	,13	,14	,17	,20	,21	,22	,24	,25	
48	,02	,05	,06	,07	,09	,10	,11	,12	,13	,14	,16	,17	,18	,19	,23	
49	,02	,03	,06	,07	,08	,10	,11	,13	,14	,17	,19	,20	,21	,22	,23	
50	,01	,03	,05	,06	,07	,10	,11	,13	,15	,18	,19	,20	,22	,23	,24	
51	,02	,03	,04	,06	,08	,09	,11	,12	,13	,17	,18	,21	,22	,23	,24	
52	,01	,02	,03	,04	,05	,06	,08	,09	,11	,12	,13	,17	,22	,24	,25	
53	,01	,03	,04	,07	,08	,10	,11	,12	,13	,17	,18	,21	,22	,24	,25	
54	,02	,03	,04	,05	,08	,10	,12	,13	,14	,15	,17	,18	,21	,24	,25	
55	,01	,02	,03	,04	,07	,13	,14	,15	,16	,18	,19	,20	,22	,23	,24	
56	,01	,03	,04	,06	,07	,09	,10	,11	,12	,14	,16	,21	,22	,24	,25	
57	,01	,02	,04	,06	,09	,10	,11	,12	,13	,16	,17	,18	,20	,23	,25	
58	,03	,04	,05	,08	,09	,10	,13	,14	,15	,16	,17	,21	,22	,24	,25	
59	,01	,03	,04	,05	,08	,09	,11	,13	,17	,18	,19	,20	,21	,22	,24	
60	,02	,05	,06	,07	,10	,12	,14	,15	,16	,17	,18	,19	,22	,23	,25	
61	,01	,02	,03	,09	,10	,11	,13	,14	,16	,17	,18	,19	,20	,21	,25	
62	,02	,04	,05	,06	,08	,09	,11	,13	,14	,16	,18	,20	,21	,23	,24	
63	,02	,03	,04	,05	,07	,08	,09	,12	,13	,15	,17	,20	,21	,22	,25	
64	,01	,03	,04	,06	,07	,08	,10	,12	,15	,18	,19	,20	,22	,23	,25	
65	,02	,03	,04	,05	,06	,07	,08	,13	,15	,16	,20	,21	,22	,24	,25	
66	,02	,03	,04	,05	,06	,09	,10	,12	,14	,15	,17	,18	,19	,23	,25	
67	,01	,02	,03	,05	,06	,08	,10	,12	,13	,14	,16	,20	,21	,22	,24	
68	,02	,03	,07	,08	,09	,10	,11	,13	,15	,16	,17	,18	,19	,22	,24	
69	,02	,03	,06	,08	,10	,13	,14	,15	,19	,20	,21	,22	,23	,24	,25	
70	,01	,05	,07	,09	,10	,11	,12	,13	,14	,16	,19	,21	,23	,24	,25	
71	,01	,04	,05	,09	,12	,13	,15	,16	,17	,18	,19	,20	,22	,23	,24	
72	,02	,03	,04	,08	,09	,11	,12	,14	,16	,17	,20	,21	,22	,23	,24	
73	,03	,06	,07	,08	,09	,10	,12	,13	,14	,17	,18	,19	,20	,21	,24	
74	,01	,03	,04	,06	,07	,08	,11	,12	,15	,17	,18	,19	,20	,24	,25	
75	,01	,03	,06	,07	,08	,10	,12	,13	,15	,17	,18	,19	,20	,22	,23	
76	,02	,03	,04	,05	,08	,10	,14	,16	,17	,18	,19	,22	,23	,24	,25	
77	,03	,04	,05	,06	,07	,08	,09	,12	,13	,14	,15	,17	,18	,24	,25	
78	,02	,03	,05	,06	,08	,09	,10	,11	,13	,15	,18	,22	,23	,24	,25	
79	,01	,02	,04	,06	,07	,08	,09	,10	,12	,14	,16	,19	,22	,23	,24	
80	,01	,03	,05	,08	,10	,11	,12	,13	,16	,17	,18	,19	,23	,24	,25	
81	,02	,04	,05	,07	,08	,11	,12	,15	,16	,18	,19	,20	,21	,23	,25	
82	,01	,02	,03	,06	,07	,09	,10	,11	,13	,14	,16	,17	,22	,24	,25	
83	,01	,02	,03	,04	,06	,08	,10	,12	,17	,19	,20	,21	,23	,24	,25	
84	,01	,03	,04	,05	,06	,07	,08	,09	,13	,15	,18	,19	,20	,22	,23	
85	,01	,04	,05	,09	,10	,12	,13	,15	,16	,17	,18	,20	,21	,22	,23	
86	,01	,03	,04	,07	,08	,09	,10	,11	,13	,14	,17	,19	,20	,21	,25	
87	,01	,02	,04	,06	,09	,10	,11	,13	,14	,17	,18	,19	,20	,22	,24	
88	,01	,02	,03	,04	,05	,07	,08	,09	,11	,12	,15	,16	,17	,18	,25	
89	,01	,04	,06	,07	,08	,09	,10	,11	,13	,14	,17	,18	,21	,22	,25	
90	,03	,04	,06	,07	,09	,12	,13	,14	,15	,18	,21	,22	,23	,24	,25	
91	,03	,05	,06	,09	,10	,11	,12	,13	,17	,19	,20	,22	,23	,24	,25	
92	,01	,02	,03	,06	,08	,11	,12	,13	,14	,16	,17	,20	,22	,24	,25	
93	,03	,04	,09	,11	,12	,13	,14	,16	,17	,18	,19	,20	,22	,23	,25	
94	,01	,02	,04	,05	,06	,08	,09	,11	,13	,18	,20	,22	,23	,24	,25	
95	,01	,04	,06	,07	,08	,10	,11	,12	,13	,14	,17	,18	,20	,21	,22	
96	,01	,02	,03	,04	,05	,14	,15	,16	,17	,19	,20	,21	,23	,24	,25	
97	,01	,03	,04	,05	,06	,07	,08	,10	,11	,12	,13	,16	,18	,20	,21	
98	,01	,02	,03	,06	,07	,09	,10	,11	,13	,16	,17	,18	,21	,22	,24	
99	,02	,04	,06	,07	,08	,11	,13	,14	,15	,18	,19	,20	,23	,24	,25	
100	,02	,03	,04	,05	,06	,08	,12	,13	,15	,16	,17	,19	,20	,21	,25	
101	,02	,03	,05	,07	,08	,09	,10	,12	,13	,14	,17	,18	,22	,24	,25	
102	,01	,02	,04	,05	,07	,08	,10	,13	,14	,15	,17	,20	,23	,24	,25	
103	,02	,04	,07	,09	,10	,12	,13	,14	,18	,19	,20	,21	,23	,24	,25	
104	,02	,03	,04	,06	,07	,08	,09	,11	,13	,16	,20	,22	,23	,24	,25	
105	,04	,08	,09	,10	,11	,12	,14	,15	,18	,19	,20	,21	,22	,23	,24	
106	,01	,02	,03	,05	,07	,08	,09	,11	,12	,13	,14	,15	,16	,20	,21	
107	,01	,02	,03	,05	,06	,09	,10	,12	,13	,15	,18	,20	,21	,22	,23	
108	,01	,03	,04	,05	,06	,07	,09	,10	,16	,17	,18	,20	,22	,23	,24	
109	,01	,04	,08	,09	,11	,12	,13	,15	,17	,18	,19	,21	,23	,24	,25	
110	,01	,02	,03	,04	,08	,09	,10	,12	,15	,16	,17	,18	,19	,24	,25	
111	,01	,03	,04	,06	,07	,09	,10	,12	,13	,16	,18	,19	,20	,23	,24	
112	,01	,07	,08	,09	,10	,13	,14	,15	,18	,19	,20	,21	,22	,24	,25	
113	,04	,05	,06	,08	,11	,12	,13	,15	,16	,19	,20	,22	,23	,24	,25	
114	,01	,02	,04	,05	,07	,08	,12	,13	,15	,16	,18	,20	,22	,24	,25	
115	,03	,05	,06	,08	,09	,10	,11	,13	,14	,15	,16	,19	,21	,22	,24	
116	,02	,03	,05	,06	,07	,11	,12	,13	,15	,17	,18	,19	,20	,23	,24	
117	,01	,02	,03	,04	,06	,07	,10	,13	,18	,19	,20	,21	,22	,23	,24	
118	,01	,03	,07	,08	,09	,10	,11	,14	,16	,17	,18	,19	,21	,22	,25	
119	,01	,02	,03	,05	,06	,07	,08	,09	,11	,12	,16	,17	,21	,24	,25	
Boa Sorte
